CNAE,Descrição Receita Federal,MCC,Descrição MCC2,,,,
0111-3/01,Cultivo de arroz,763,Cooperativas Agrícolas,,,,
0111-3/02,Cultivo de milho,763,Cooperativas Agrícolas,,,,
0111-3/03,Cultivo de trigo,763,Cooperativas Agrícolas,,,,
0111-3/99,Cultivo de outros cereais não especificados anteriormente,763,Cooperativas Agrícolas,,,,
0112-1/01,Cultivo de algodão herbáceo,763,Cooperativas Agrícolas,,,,
0112-1/02,Cultivo de juta,763,Cooperativas Agrícolas,,,,
0112-1/99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,763,Cooperativas Agrícolas,,,,
0113-0/00,Cultivo de cana-de-açúcar,763,Cooperativas Agrícolas,,,,
0114-8/00,Cultivo de fumo,763,Cooperativas Agrícolas,,,,
0115-6/00,Cultivo de soja,763,Cooperativas Agrícolas,,,,
0116-4/01,Cultivo de amendoim,763,Cooperativas Agrícolas,,,,
0116-4/02,Cultivo de girassol,763,Cooperativas Agrícolas,,,,
0116-4/03,Cultivo de mamona,763,Cooperativas Agrícolas,,,,
0116-4/99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,763,Cooperativas Agrícolas,,,,
0119-9/01,Cultivo de abacaxi,763,Cooperativas Agrícolas,,,,
0119-9/02,Cultivo de alho,763,Cooperativas Agrícolas,,,,
0119-9/03,Cultivo de batata-inglesa,763,Cooperativas Agrícolas,,,,
0119-9/04,Cultivo de cebola,763,Cooperativas Agrícolas,,,,
0119-9/05,Cultivo de feijão,763,Cooperativas Agrícolas,,,,
0119-9/06,Cultivo de mandioca,763,Cooperativas Agrícolas,,,,
0119-9/07,Cultivo de melão,763,Cooperativas Agrícolas,,,,
0119-9/08,Cultivo de melancia,763,Cooperativas Agrícolas,,,,
0119-9/09,Cultivo de tomate rasteiro,763,Cooperativas Agrícolas,,,,
0119-9/99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,763,Cooperativas Agrícolas,,,,
0121-1/01,Horticultura, exceto morango,780,Paisagismo e Jardinagem,,,,
0121-1/02,Cultivo de morango,763,Cooperativas Agrícolas,,,,
0122-9/00,Cultivo de flores e plantas ornamentais,763,Cooperativas Agrícolas,,,,
0131-8/00,Cultivo de laranja,763,Cooperativas Agrícolas,,,,
0132-6/00,Cultivo de uva,763,Cooperativas Agrícolas,,,,
0133-4/01,Cultivo de açaí,763,Cooperativas Agrícolas,,,,
0133-4/02,Cultivo de banana,763,Cooperativas Agrícolas,,,,
0133-4/03,Cultivo de caju,763,Cooperativas Agrícolas,,,,
0133-4/04,Cultivo de cítricos, exceto laranja,763,Cooperativas Agrícolas,,,,
0133-4/05,Cultivo de coco-da-baía,763,Cooperativas Agrícolas,,,,
0133-4/06,Cultivo de guaraná,763,Cooperativas Agrícolas,,,,
0133-4/07,Cultivo de maçã,763,Cooperativas Agrícolas,,,,
0133-4/08,Cultivo de mamão,763,Cooperativas Agrícolas,,,,
0133-4/09,Cultivo de maracujá,763,Cooperativas Agrícolas,,,,
0133-4/10,Cultivo de manga,763,Cooperativas Agrícolas,,,,
0133-4/11,Cultivo de pêssego,763,Cooperativas Agrícolas,,,,
0133-4/99,Cultivo de frutas de lavoura permanente não especificadas anteriormente,763,Cooperativas Agrícolas,,,,
0134-2/00,Cultivo de café,763,Cooperativas Agrícolas,,,,
0135-1/00,Cultivo de cacau,763,Cooperativas Agrícolas,,,,
0139-3/01,Cultivo de chá-da-índia,763,Cooperativas Agrícolas,,,,
0139-3/02,Cultivo de erva-mate,763,Cooperativas Agrícolas,,,,
0139-3/03,Cultivo de pimenta-do-reino,763,Cooperativas Agrícolas,,,,
0139-3/04,Cultivo de plantas para condimento, exceto pimenta-do-reino,763,Cooperativas Agrícolas,,,,
0139-3/05,Cultivo de dendê,763,Cooperativas Agrícolas,,,,
0139-3/06,Cultivo de seringueira,763,Cooperativas Agrícolas,,,,
0139-3/99,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,763,Cooperativas Agrícolas,,,,
0141-5/01,Produção de sementes certificadas, exceto de forrageiras para pasto,763,Cooperativas Agrícolas,,,,
0141-5/02,Produção de sementes certificadas de forrageiras para formação de pasto,763,Cooperativas Agrícolas,,,,
0142-3/00,Produção de mudas e outras formas de propagação vegetal, certificadas,763,Cooperativas Agrícolas,,,,
0151-2/01,Criação de bovinos para corte,763,Cooperativas Agrícolas,,,,
0151-2/02,Criação de bovinos para leite,763,Cooperativas Agrícolas,,,,
0151-2/03,Criação de bovinos, exceto para corte e leite,763,Cooperativas Agrícolas,,,,
0152-1/01,Criação de bufalinos,763,Cooperativas Agrícolas,,,,
0152-1/02,Criação de eqüinos,763,Cooperativas Agrícolas,,,,
0152-1/03,Criação de asininos e muares,763,Cooperativas Agrícolas,,,,
0153-9/01,Criação de caprinos,763,Cooperativas Agrícolas,,,,
0153-9/02,Criação de ovinos, inclusive para produção de lã,763,Cooperativas Agrícolas,,,,
0154-7/00,Criação de suínos,763,Cooperativas Agrícolas,,,,
0155-5/01,Criação de frangos para corte,763,Cooperativas Agrícolas,,,,
0155-5/02,Produção de pintos de um dia,763,Cooperativas Agrícolas,,,,
0155-5/03,Criação de outros galináceos, exceto para corte,763,Cooperativas Agrícolas,,,,
0155-5/04,Criação de aves, exceto galináceos,763,Cooperativas Agrícolas,,,,
0155-5/05,Produção de ovos,763,Cooperativas Agrícolas,,,,
0159-8/01,Apicultura,763,Cooperativas Agrícolas,,,,
0159-8/02,Criação de animais de estimação,763,Cooperativas Agrícolas,,,,
0159-8/03,Criação de escargô,763,Cooperativas Agrícolas,,,,
0159-8/04,Criação de bicho-da-seda,763,Cooperativas Agrícolas,,,,
0159-8/99,Criação de outros animais não especificados anteriormente,763,Cooperativas Agrícolas,,,,
0161-0/01,Serviço de pulverização e controle de pragas agrícolas,763,Cooperativas Agrícolas,,,,
0161-0/02,Serviço de poda de árvores para lavouras,763,Cooperativas Agrícolas,,,,
0161-0/03,Serviço de preparação de terreno, cultivo e colheita,763,Cooperativas Agrícolas,,,,
0161-0/99,Atividades de apoio à agricultura não especificadas anteriormente,763,Cooperativas Agrícolas,,,,
0162-8/01,Serviço de inseminação artificial em animais,742,Veterinários,,,,
0162-8/02,Serviço de tosquiamento de ovinos,763,Cooperativas Agrícolas,,,,
0162-8/03,Serviço de manejo de animais,763,Cooperativas Agrícolas,,,,
0162-8/99,Atividades de apoio à pecuária não especificadas anteriormente,763,Cooperativas Agrícolas,,,,
0163-6/00,Atividades de pós-colheita,763,Cooperativas Agrícolas,,,,
0170-9/00,Caça e serviços relacionados,763,Cooperativas Agrícolas,,,,
0210-1/01,Cultivo de eucalipto,763,Cooperativas Agrícolas,,,,
0210-1/02,Cultivo de acácia-negra,763,Cooperativas Agrícolas,,,,
0210-1/03,Cultivo de pinus,763,Cooperativas Agrícolas,,,,
0210-1/04,Cultivo de teca,763,Cooperativas Agrícolas,,,,
0210-1/05,Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca,763,Cooperativas Agrícolas,,,,
0210-1/06,Cultivo de mudas em viveiros florestais,763,Cooperativas Agrícolas,,,,
0210-1/07,Extração de madeira em florestas plantadas,763,Cooperativas Agrícolas,,,,
0210-1/08,Produção de carvão vegetal - florestas plantadas,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
0210-1/09,Produção de casca de acácia-negra - florestas plantadas,763,Cooperativas Agrícolas,,,,
0210-1/99,Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas,763,Cooperativas Agrícolas,,,,
0220-9/01,Extração de madeira em florestas nativas,763,Cooperativas Agrícolas,,,,
0220-9/02,Produção de carvão vegetal - florestas nativas,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
0220-9/03,Coleta de castanha-do-pará em florestas nativas,763,Cooperativas Agrícolas,,,,
0220-9/04,Coleta de látex em florestas nativas,763,Cooperativas Agrícolas,,,,
0220-9/05,Coleta de palmito em florestas nativas,763,Cooperativas Agrícolas,,,,
0220-9/06,Conservação de florestas nativas,763,Cooperativas Agrícolas,,,,
0220-9/99,Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas,763,Cooperativas Agrícolas,,,,
0230-6/00,Atividades de apoio à produção florestal,763,Cooperativas Agrícolas,,,,
0311-6/01,Pesca de peixes em água salgada,763,Cooperativas Agrícolas,,,,
0311-6/02,Pesca de crustáceos e moluscos em água salgada,763,Cooperativas Agrícolas,,,,
0311-6/03,Coleta de outros produtos marinhos,763,Cooperativas Agrícolas,,,,
0311-6/04,Atividades de apoio à pesca em água salgada,763,Cooperativas Agrícolas,,,,
0312-4/01,Pesca de peixes em água doce,763,Cooperativas Agrícolas,,,,
0312-4/02,Pesca de crustáceos e moluscos em água doce,763,Cooperativas Agrícolas,,,,
0312-4/03,Coleta de outros produtos aquáticos de água doce,763,Cooperativas Agrícolas,,,,
0312-4/04,Atividades de apoio à pesca em água doce,763,Cooperativas Agrícolas,,,,
0321-3/01,Criação de peixes em água salgada e salobra,763,Cooperativas Agrícolas,,,,
0321-3/02,Criação de camarões em água salgada e salobra,763,Cooperativas Agrícolas,,,,
0321-3/03,Criação de ostras e mexilhões em água salgada e salobra,763,Cooperativas Agrícolas,,,,
0321-3/04,Criação de peixes ornamentais em água salgada e salobra,763,Cooperativas Agrícolas,,,,
0321-3/05,Atividades de apoio à aqüicultura em água salgada e salobra,763,Cooperativas Agrícolas,,,,
0321-3/99,Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente,763,Cooperativas Agrícolas,,,,
0322-1/01,Criação de peixes em água doce,763,Cooperativas Agrícolas,,,,
0322-1/02,Criação de camarões em água doce,763,Cooperativas Agrícolas,,,,
0322-1/03,Criação de ostras e mexilhões em água doce,763,Cooperativas Agrícolas,,,,
0322-1/04,Criação de peixes ornamentais em água doce,763,Cooperativas Agrícolas,,,,
0322-1/05,Ranicultura,763,Cooperativas Agrícolas,,,,
0322-1/06,Criação de jacaré,763,Cooperativas Agrícolas,,,,
0322-1/07,Atividades de apoio à aqüicultura em água doce,763,Cooperativas Agrícolas,,,,
0322-1/99,Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente,763,Cooperativas Agrícolas,,,,
0500-3/01,Extração de carvão mineral,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
0500-3/02,Beneficiamento de carvão mineral,5983,Oleo de Combustível, Madeira e Carvão,,,,
0600-0/01,Extração de petróleo e gás natural,5172,Atacadistas e Distribuidores de Petróleo e Derivados,,,,
0600-0/02,Extração e beneficiamento de xisto,5172,Atacadistas e Distribuidores de Petróleo e Derivados,,,,
