CAMPANHA JUNHO / 2016,,,,Preço Tabela,,,,Antecipação,,,,,,,,,,,,,,,
Macro-Segmento,Segmento,MCC,Nome MCC,Créd. à Vista,PSJ <= 6,PSJ > 6,DÉBITO,ElegÍvel  (Sim / Não),Período Carência,,,,,,,,,,,,,,
SAÚDE,CLÍNICAS E CONSULTORIOS,742,Veterinários,3.33%,3.85%,4.10%,2.12%,Sim,30 dias,,,,,,,,,,,,,,
DIVERSOS,DIVERSOS,763,COOPERATIVAS AGRÍCOLAS ,3.14%,3.54%,4.86%,1.99%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,SERVIÇOS DE REFORMA E CONSTRUÇÃO,780,Paisagismo e Jardinagem,2.93%,3.55%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,SERVIÇOS DE REFORMA E CONSTRUÇÃO,1520,Empreiteiros (Residencial e Comercial),3.57%,4.34%,4.86%,2.12%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,SERVIÇOS DE REFORMA E CONSTRUÇÃO,1711,Encanadores ou Serviços de Aquecimento e Ar Condicionado,3.64%,4.41%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,SERVIÇOS DE REFORMA E CONSTRUÇÃO,1731,Eletricistas e Serviços Elétricos,3.37%,4.07%,4.86%,2.17%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,SERVIÇOS DE REFORMA E CONSTRUÇÃO,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,3.64%,4.41%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,SERVIÇOS DE REFORMA E CONSTRUÇÃO,1750,Marceneiros e Serviços de Carpintaria,3.64%,4.41%,4.86%,2.35%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,SERVIÇOS DE REFORMA E CONSTRUÇÃO,1761,Colocação de Telhas, Beirais e Trabalhos de Folha Metal,3.64%,4.41%,4.86%,2.35%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,SERVIÇOS DE REFORMA E CONSTRUÇÃO,1771,Colocação de Concretagem e Pavimentação,3.57%,4.34%,4.86%,2.12%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,SERVIÇOS DE REFORMA E CONSTRUÇÃO,1799,Demais Serviços de Reforma e Construção Não- Classificados,3.46%,4.11%,4.86%,2.12%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,SERVIÇOS DE ESCRITÓRIO E ADMINISTRATIVOS,2741,Impressões e Encadernações,3.68%,4.27%,4.54%,2.35%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,SERVIÇOS DE ESCRITÓRIO E ADMINISTRATIVOS,2791,Tipografia, criação de chapa e serviços relacionados,3.68%,4.27%,4.54%,2.35%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,DISTRIBUIDORES E ATACADISTAS,2842,Atacadistas e Distribuidores de Produtos Quimicos,3.71%,4.41%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,TRANSPORTE,4111,Transporte de Passageiros em Trem, Metrô e Balsas (urbano),2.83%,3.45%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,TRANSPORTE,4112,Transporte de Passageiros em Trem (longa distância),3.68%,4.27%,4.76%,2.35%,Não,Não Aplicavel,,,,,,,,,,,,,,
SAÚDE,HOSPITAIS E LABORATÓRIOS,4119,Servicos de Ambulancia,3.37%,4.07%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,TRANSPORTE,4121,Taxi e Limusine,2.92%,3.54%,4.76%,2.54%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,TRANSPORTE,4131,Transporte de Passageiros em Ônibus,3.61%,4.39%,4.86%,2.26%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,TRANSPORTE,4214,Transporte de Carga Rodoviário e Armazenamento,3.64%,4.42%,4.86%,2.35%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,SERVIÇOS DE ESCRITÓRIO E ADMINISTRATIVOS,4215,Courier,3.61%,4.39%,4.86%,2.26%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,SERVIÇOS DE ESCRITÓRIO E ADMINISTRATIVOS,4225,Armazenamento de Mercadorias,3.64%,4.42%,4.86%,2.35%,Sim,30 dias,,,,,,,,,,,,,,
TURISMO,CRUZEIROS MARÍTIMOS,4411,Cruzeiros Maritimos,3.01%,3.65%,4.76%,2.22%,Não,Não Aplicavel,,,,,,,,,,,,,,
OUTROS SERVIÇOS,TRANSPORTE,4457,Aluguel e Arrendamento de Barcos, Esquis e Iates,3.24%,3.93%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
TURISMO,CIAS AÉREAS,4511,Outras Cias Aéreas,3.87%,4.49%,4.77%,2.26%,Não,Não Aplicavel,,,,,,,,,,,,,,
OUTROS SERVIÇOS,TRANSPORTE,4582,Aeroportos e Serviços Ligados a Aeronaves,3.61%,4.39%,4.86%,2.26%,Sim,30 dias,,,,,,,,,,,,,,
TURISMO,AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS,4722,Agencias de Viagem / Operadoras de Turismo,3.49%,4.05%,4.76%,2.35%,Não,Não Aplicavel,,,,,,,,,,,,,,
